Order ID,Order Date,Customer Name,City,Segment,Category,Sub-Category,Quantity,Discount,Sales,Profit,isRepeat
CA-2016-152156,2016-11-08,Claire Gute,Henderson,Consumer,Furniture,Bookcases,2,0.0,261.96,41.9136,Yes
CA-2016-152156,2016-11-08,Claire Gute,Henderson,Consumer,Furniture,Chairs,3,0.0,731.94,219.582,Yes
CA-2016-138688,2016-06-12,Darrin Van Huff,Los Angeles,Corporate,Office Supplies,Labels,2,0.0,14.62,6.8714,Yes
US-2015-108966,2015-10-11,Sean O'Donnell,Fort Lauderdale,Consumer,Furniture,Tables,5,0.45,957.5775,-383.031,Yes
US-2015-108966,2015-10-11,Sean O'Donnell,Fort Lauderdale,Consumer,Office Supplies,Storage,2,0.2,22.368,2.5164,Yes
CA-2014-115812,2014-06-09,Brosina Hoffman,Los Angeles,Consumer,Furniture,Furnishings,7,0.0,48.86,14.1694,Yes
CA-2014-115812,2014-06-09,Brosina Hoffman,Los Angeles,Consumer,Office Supplies,Art,4,0.0,7.28,1.9656,Yes
CA-2014-115812,2014-06-09,Brosina Hoffman,Los Angeles,Consumer,Technology,Phones,6,0.2,907.152,90.7152,Yes
CA-2014-115812,2014-06-09,Brosina Hoffman,Los Angeles,Consumer,Office Supplies,Binders,3,0.2,18.504,5.7825,Yes
CA-2014-115812,2014-06-09,Brosina Hoffman,Los Angeles,Consumer,Office Supplies,Appliances,5,0.0,114.9,34.47,Yes
CA-2014-115812,2014-06-09,Brosina Hoffman,Los Angeles,Consumer,Furniture,Tables,9,0.2,1706.184,85.3092,Yes
CA-2014-115812,2014-06-09,Brosina Hoffman,Los Angeles,Consumer,Technology,Phones,4,0.2,911.424,68.3568,Yes
CA-2017-114412,2017-04-15,Andrew Allen,Concord,Consumer,Office Supplies,Paper,3,0.2,15.552,5.4432,Yes
CA-2016-161389,2016-12-05,Irene Maddox,Seattle,Consumer,Office Supplies,Binders,3,0.2,407.976,132.5922,Yes
US-2015-118983,2015-11-22,Harold Pawlan,Fort Worth,Home Office,Office Supplies,Appliances,5,0.8,68.81,-123.858,Yes
US-2015-118983,2015-11-22,Harold Pawlan,Fort Worth,Home Office,Office Supplies,Binders,3,0.8,2.544,-3.816,Yes
CA-2014-105893,2014-11-11,Pete Kriz,Madison,Consumer,Office Supplies,Storage,6,0.0,665.88,13.3176,Yes
CA-2014-167164,2014-05-13,Alejandro Grove,West Jordan,Consumer,Office Supplies,Storage,2,0.0,55.5,9.99,Yes
CA-2014-143336,2014-08-27,Zuschuss Donatelli,San Francisco,Consumer,Office Supplies,Art,2,0.0,8.56,2.4824,Yes
CA-2014-143336,2014-08-27,Zuschuss Donatelli,San Francisco,Consumer,Technology,Phones,3,0.2,213.48,16.011,Yes
CA-2014-143336,2014-08-27,Zuschuss Donatelli,San Francisco,Consumer,Office Supplies,Binders,4,0.2,22.72,7.384,Yes
CA-2016-137330,2016-12-09,Ken Black,Fremont,Corporate,Office Supplies,Art,7,0.0,19.46,5.0596,Yes
CA-2016-137330,2016-12-09,Ken Black,Fremont,Corporate,Office Supplies,Appliances,7,0.0,60.34,15.6884,Yes
US-2017-156909,2017-07-16,Sandra Flanagan,Philadelphia,Consumer,Furniture,Chairs,2,0.3,71.372,-1.0196,Yes
CA-2015-106320,2015-09-25,Emily Burns,Orem,Consumer,Furniture,Tables,3,0.0,1044.63,240.2649,Yes
CA-2016-121755,2016-01-16,Eric Hoffmann,Los Angeles,Consumer,Office Supplies,Binders,2,0.2,11.648,4.2224,Yes
CA-2016-121755,2016-01-16,Eric Hoffmann,Los Angeles,Consumer,Technology,Accessories,3,0.0,90.57,11.7741,Yes
US-2015-150630,2015-09-17,Tracy Blumstein,Philadelphia,Consumer,Furniture,Bookcases,7,0.5,3083.43,-1665.0522,Yes
US-2015-150630,2015-09-17,Tracy Blumstein,Philadelphia,Consumer,Office Supplies,Binders,2,0.7,9.618,-7.0532,Yes
US-2015-150630,2015-09-17,Tracy Blumstein,Philadelphia,Consumer,Furniture,Furnishings,3,0.2,124.2,15.525,Yes
US-2015-150630,2015-09-17,Tracy Blumstein,Philadelphia,Consumer,Office Supplies,Envelopes,2,0.2,3.264,1.1016,Yes
US-2015-150630,2015-09-17,Tracy Blumstein,Philadelphia,Consumer,Office Supplies,Art,6,0.2,86.304,9.7092,Yes
US-2015-150630,2015-09-17,Tracy Blumstein,Philadelphia,Consumer,Office Supplies,Binders,6,0.7,6.858,-5.715,Yes
US-2015-150630,2015-09-17,Tracy Blumstein,Philadelphia,Consumer,Office Supplies,Art,2,0.2,15.76,3.546,Yes
CA-2016-117590,2016-12-08,Gene Hale,Richardson,Corporate,Technology,Phones,7,0.2,1097.544,123.4737,Yes
CA-2016-117590,2016-12-08,Gene Hale,Richardson,Corporate,Furniture,Furnishings,5,0.6,190.92,-147.963,Yes
CA-2015-117415,2015-12-27,Steve Nguyen,Houston,Home Office,Office Supplies,Envelopes,9,0.2,113.328,35.415,Yes
CA-2015-117415,2015-12-27,Steve Nguyen,Houston,Home Office,Furniture,Bookcases,3,0.32,532.3992,-46.9764,Yes
CA-2015-117415,2015-12-27,Steve Nguyen,Houston,Home Office,Furniture,Chairs,3,0.3,212.058,-15.147,Yes
CA-2015-117415,2015-12-27,Steve Nguyen,Houston,Home Office,Technology,Phones,4,0.2,371.168,41.7564,Yes
CA-2017-120999,2017-09-10,Linda Cazamias,Naperville,Corporate,Technology,Phones,4,0.2,147.168,16.5564,Yes
CA-2016-101343,2016-07-17,Ruben Ausman,Los Angeles,Corporate,Office Supplies,Storage,2,0.0,77.88,3.894,Yes
CA-2017-139619,2017-09-19,Erin Smith,Melbourne,Corporate,Office Supplies,Storage,2,0.2,95.616,9.5616,Yes
CA-2016-118255,2016-03-11,Odella Nelson,Eagan,Corporate,Technology,Accessories,2,0.0,45.98,19.7714,Yes
CA-2016-118255,2016-03-11,Odella Nelson,Eagan,Corporate,Office Supplies,Binders,2,0.0,17.46,8.2062,Yes
CA-2014-146703,2014-10-20,Patrick O'Donnell,Westland,Consumer,Office Supplies,Storage,4,0.0,211.96,8.4784,Yes
CA-2016-169194,2016-06-20,Lena Hernandez,Dover,Consumer,Technology,Accessories,3,0.0,45.0,4.95,Yes
CA-2016-169194,2016-06-20,Lena Hernandez,Dover,Consumer,Technology,Phones,2,0.0,21.8,6.104,Yes
CA-2015-115742,2015-04-18,Darren Powers,New Albany,Consumer,Office Supplies,Binders,6,0.0,38.22,17.9634,Yes
